"","logFC","AveExpr","t","P.Value","adj.P.Val","B","change"
"P20701",-2.39758586244013,-3.60571336892435,-47.3067383048155,6.00183863197751e-20,1.25062364311088e-16,35.9775989557897,"DOWN"
"P08670",-2.38713223956851,-3.82476321125706,-46.5627074753067,7.90918965129657e-20,1.25062364311088e-16,35.7114463104731,"DOWN"
"O75791",-2.31404015430895,-3.8405015291281,-45.6407521259238,1.12016855345395e-19,1.25062364311088e-16,35.3747556490097,"DOWN"
"Q02790",1.72271797014524,-3.36110694785342,45.1386692394001,1.35789754952321e-19,1.25062364311088e-16,35.1880966008106,"UP"
"P42768",-1.52833454013373,-3.54723299154734,-43.0254345463043,3.12600244033888e-19,1.88253094168203e-16,34.3756582426253,"DOWN"
"P20292",-2.76063108875887,-3.98361639405829,-42.8033716639447,3.42020263288914e-19,1.88253094168203e-16,34.2876688631949,"DOWN"
"Q92835",-1.82534442106464,-3.68890423142732,-42.6931165126943,3.57701318994956e-19,1.88253094168203e-16,34.2437903810196,"DOWN"
"P27487",-2.91045930267344,-3.90173413772667,-40.5257120507389,8.84301866932569e-19,3.92768390357374e-16,33.3544707568475,"DOWN"
"Q9Y2R4",1.79888398724411,-3.44199843006555,40.3355866189842,9.595318982672e-19,3.92768390357374e-16,33.2739395749873,"UP"
"Q8N1K5",-1.78760552235907,-3.6091566183152,-39.8001401911748,1.21006446856308e-18,4.4578775021864e-16,33.0448601608388,"DOWN"
"P13995",2.00292501999918,-3.35583651472214,39.0580573420631,1.6774695311117e-18,5.48256694594787e-16,32.7216815162088,"UP"
"P23634",-2.09711428348372,-3.58075465251026,-38.7897685301544,1.8905446154852e-18,5.48256694594787e-16,32.6031732854562,"DOWN"
"Q16555",-1.75699090223805,-3.50320555029345,-38.738207982456,1.93467346083937e-18,5.48256694594787e-16,32.5802948376668,"DOWN"
"P43490",3.00544776077985,-3.73286603648518,38.41555249283,2.23672836606761e-18,5.88579092899504e-16,32.4363629356505,"UP"
"O94804",-1.77096701594216,-3.58842687619151,-37.9394834916283,2.77669029382437e-18,6.81955136163266e-16,32.2215589950318,"DOWN"
"P25774",-2.36853247152053,-3.6824507306579,-37.6177762285864,3.21843684237953e-18,7.41045082957886e-16,32.0747290474709,"DOWN"
"Q96AQ6",-1.96135308577365,-3.74027006017838,-37.1771483029833,3.94764895630566e-18,7.50889207923871e-16,31.8713863490688,"DOWN"
"P04233",-1.88827025780525,-3.46845530424601,-37.0647450972329,4.16033549370582e-18,7.50889207923871e-16,31.8190942323711,"DOWN"
"P28340",1.46248794053387,-3.29201133161503,37.0510349786629,4.18709394268348e-18,7.50889207923871e-16,31.8127042358976,"UP"
"P08243",2.77486912578857,-3.62819188242418,37.0492645766128,4.1905625203933e-18,7.50889207923871e-16,31.8118789016811,"UP"
"Q15785",2.2029776188007,-3.50035868951465,37.0039853711787,4.28031307448461e-18,7.50889207923871e-16,31.790755862938,"UP"
"O75607",2.632195936754,-3.59765923005598,36.6350290249222,5.09190025938336e-18,7.72126155879384e-16,31.6175828692722,"UP"
"Q99543",1.52698290861899,-3.38378794524801,36.511447507246,5.39886193521328e-18,7.72126155879384e-16,31.5591558069807,"UP"
"P06239",-1.60889629437443,-3.51116789433259,-36.2784893909491,6.03189526900827e-18,7.72126155879384e-16,31.4484332742274,"DOWN"
"P46087",1.42267512445096,-3.3680902492706,36.2554585314532,6.09860564752351e-18,7.72126155879384e-16,31.4374452135807,"UP"
"Q92598",1.92829121088584,-3.40518288726671,36.242059834583,6.13777403057988e-18,7.72126155879384e-16,31.4310492022485,"UP"
"O60678",2.18074421117705,-3.4795664646883,36.2196135406688,6.20398785670543e-18,7.72126155879384e-16,31.4203284960945,"UP"
"Q9NU22",1.78705595211604,-3.42743052636028,36.2098168265774,6.23312309897445e-18,7.72126155879384e-16,31.4156471796474,"UP"
"Q8TED0",1.65001048596574,-3.44053533237165,36.1218170868344,6.50140523792491e-18,7.72126155879384e-16,31.3735354574707,"UP"
"Q13459",-1.30958412130954,-3.38622595174244,-36.118655179037,6.51126896809502e-18,7.72126155879384e-16,31.372020285142,"DOWN"
"P53634",-2.75354044585253,-3.75502418356766,-36.0917238604606,6.59592604398158e-18,7.72126155879384e-16,31.3591091083995,"DOWN"
"Q9ULZ3",-2.65364137830139,-3.82004064830154,-36.0569837531921,6.70685043109128e-18,7.72126155879384e-16,31.3424389420601,"DOWN"
"O00160",-2.5176207596741,-3.74401605879411,-35.9542561105394,7.04653822671719e-18,7.86649903855338e-16,31.2930431268304,"DOWN"
"Q8TEX9",1.84094743923971,-3.42278526782081,35.7194806430387,7.892954487047e-18,8.55224833243563e-16,31.1795794751036,"UP"
"O43707",-1.39936487133033,-3.35981322656489,-35.4590949771635,8.95875359127326e-18,9.42972806578591e-16,31.0527957410529,"DOWN"
"Q9UH99",-2.40177817541857,-3.92107114259628,-35.2337960023806,1.00037242162291e-17,1.02371444479411e-15,30.9422856132423,"DOWN"
"Q9NR30",2.3961992141919,-3.57022263874879,35.1163788056346,1.05986631093593e-17,1.05528310526702e-15,30.8843908189146,"UP"
"Q15208",-1.69493663535429,-3.74732034250226,-35.0260377252346,1.10818065443487e-17,1.0743519818258e-15,30.8397048952034,"DOWN"
"P00813",-2.2104496657725,-3.67542445172078,-34.5761324725417,1.38596274718298e-17,1.30920173349284e-15,30.6153116181833,"DOWN"
"P11279",-1.95533615542799,-3.61110531340885,-33.9804690624201,1.87185574012774e-17,1.72397913665765e-15,30.3133729231761,"DOWN"
"P12268",1.6386786885119,-3.34576448540199,33.8466719455312,2.0039897439389e-17,1.77191127810884e-15,30.2447760508107,"UP"
"P52566",-1.46219703385727,-3.80612152088012,-33.8140077644705,2.03772102488705e-17,1.77191127810884e-15,30.2279855307415,"DOWN"
"Q09666",-2.68887843932466,-3.95622536736634,-33.7849882115749,2.06819177412269e-17,1.77191127810884e-15,30.2130539996757,"DOWN"
"Q15397",1.3349482977953,-3.345326616284,33.5326893629843,2.35429752471152e-17,1.97118910932665e-15,30.0826605241698,"UP"
"P02786",2.16701287383197,-3.41803347260847,33.309563553183,2.64221986026707e-17,2.16309732560531e-15,29.9664735397351,"UP"
"Q9H583",1.79858830288142,-3.45469417020543,33.0837746590525,2.97171604686427e-17,2.37995693840173e-15,29.8480570369129,"UP"
"Q9H4X1",1.71205416235196,-3.54696386384873,32.8497642865698,3.35940154030774e-17,2.63319899457313e-15,29.7244227241052,"UP"
"Q01650",2.69275378281445,-3.59661185345079,32.5724355183812,3.88913499492378e-17,2.92435789733451e-15,29.5766915346882,"UP"
"P16401",-1.44863361629087,-3.37554878468865,-32.5722011453992,3.88961826735588e-17,2.92435789733451e-15,29.576566125112,"DOWN"
"P08238",1.69727237257132,-3.32958143842981,32.5227402143306,3.99303855501703e-17,2.94207080733655e-15,29.5500789860188,"UP"
"P31146",-1.21334823499662,-3.5817022418721,-32.2648167057429,4.58148562857158e-17,3.30944961875641e-15,29.4112652487723,"DOWN"
"O00299",-1.21753572462243,-3.3548796699785,-32.1856613506688,4.77993008504613e-17,3.38639662179038e-15,29.3684296352621,"DOWN"
"P22234",1.69010270537201,-3.34081446449557,32.1230509371666,4.94332006521407e-17,3.43607379627333e-15,29.3344688880074,"UP"
"O15511",-1.2589007492619,-3.59163869956542,-32.0365041065144,5.17895280267528e-17,3.53319668982514e-15,29.2874099264119,"DOWN"
"O15117",-2.34425215656872,-4.07292996864708,-31.983933320685,5.32784891146457e-17,3.56869007087918e-15,29.2587598205043,"DOWN"
"P61221",1.12796709032743,-3.37145039132678,31.8734051083293,5.65584023017823e-17,3.6869557799949e-15,29.1983623262593,"UP"
"Q9NVZ3",-1.07085377961946,-3.52867545332489,-31.8575623900412,5.7045732752364e-17,3.6869557799949e-15,29.189687150004,"DOWN"
"Q9H1E5",-2.23177629391051,-3.86477578864184,-31.7050589859096,6.19701069789162e-17,3.85612385547979e-15,29.1059468752154,"DOWN"
"P06748",1.29617751964837,-3.36146767718799,31.7020471164993,6.20717664166282e-17,3.85612385547979e-15,29.1042887933299,"UP"
"Q7Z6Z7",1.0387226998538,-3.24080591394052,31.6741437280728,6.30220047720921e-17,3.85612385547979e-15,29.0889196777909,"UP"
"P55209",1.20945175790768,-3.26177802162916,31.6233762766783,6.47904888248502e-17,3.85612385547979e-15,29.0609206573148,"UP"
"P27708",1.26407294669239,-3.28606258080372,31.6203722208313,6.48967641258813e-17,3.85612385547979e-15,29.0592623988821,"UP"
"Q08209",-1.60308393810045,-3.55385541789096,-31.4905792576987,6.96689128465035e-17,4.07397261788125e-15,28.9874577806639,"DOWN"
"P13612",-2.43635914695441,-3.63612583108729,-31.427312005886,7.21281457658802e-17,4.15187639064848e-15,28.9523443686897,"DOWN"
"P04183",2.36488666400501,-3.48241826688485,31.224515734079,8.06482114793779e-17,4.51635064875407e-15,28.8392916576345,"UP"
"Q9H4M9",-1.56308847742543,-3.61562106043619,-31.2186076320699,8.09118194402195e-17,4.51635064875407e-15,28.8359865732552,"DOWN"
"P07384",-1.12758832149659,-3.5113274084844,-31.05523633119,8.8573591326952e-17,4.8637498970336e-15,28.7443343459162,"DOWN"
"Q9BZQ8",-1.78965580900295,-3.43350950523287,-31.0309576981505,8.97760567313476e-17,4.8637498970336e-15,28.7306709376467,"DOWN"
"P61158",-0.993934834749211,-3.50015630593203,-30.967964237806,9.29770801535356e-17,4.96416758384964e-15,28.6951676994766,"NOT"
"Q9Y3E5",2.10262588785895,-3.45684883001105,30.8918304424915,9.70074605571552e-17,5.10536406703656e-15,28.6521578523299,"UP"
"O14745",-1.42231019546538,-3.50367655140988,-30.8400993640752,9.98509959072616e-17,5.18100097073735e-15,28.6228705827454,"DOWN"
"Q14761",-1.78994812869712,-3.70554851807836,-30.7655089668168,1.04107009534126e-16,5.27726033257497e-15,28.5805513666266,"DOWN"
"P48735",-1.96223730002957,-3.54943913819714,-30.7345908579599,1.05926930461684e-16,5.27726033257497e-15,28.5629784819179,"DOWN"
"P08240",1.44100839183384,-3.35298298316314,30.7333006725054,1.0600360060004e-16,5.27726033257497e-15,28.562244780731,"UP"
"Q15054",1.45998193637868,-3.28481386119927,30.5533633202994,1.17292501850346e-16,5.76140769088897e-15,28.4596028465705,"UP"
"P60709",-1.23619107217593,-3.49699276423389,-30.5294565304402,1.18885329336582e-16,5.76280991152589e-15,28.4459183385965,"DOWN"
"Q8WXH0",-2.00398487240124,-3.79364919129169,-30.430663747604,1.25713827752959e-16,6.01467196677794e-15,28.3892498477146,"DOWN"
"P50579",1.49072575121645,-3.46707438875384,30.388480591124,1.28754572605784e-16,6.0811775061501e-15,28.3649948953847,"UP"
"Q92619",-1.66950970297722,-3.73585881675988,-30.3613040528786,1.30754637311966e-16,6.09746941591498e-15,28.349350081786,"DOWN"
"P09382",-2.055063460825,-3.46245886039428,-30.321782826559,1.33721964200537e-16,6.15789645143473e-15,28.3265727777019,"DOWN"
"P07339",-2.94298205671973,-3.91431080021282,-30.1616233737332,1.46494973687047e-16,6.66280843287754e-15,28.2339512900561,"DOWN"
"Q96C19",-1.34351898560801,-3.49072891432405,-30.1297492694531,1.49187310421391e-16,6.7025128242976e-15,28.2154573546389,"DOWN"
"Q8IV04",-1.71207112144152,-3.62962998030404,-30.1084146218202,1.51018557723467e-16,6.70304056208739e-15,28.20306726294,"DOWN"
"P19338",1.17630335657417,-3.40916187258019,30.0094495392558,1.59829007856421e-16,6.99045348363816e-15,28.1454740085614,"UP"
"Q6K0P9",-2.74200168899117,-3.84042170151093,-29.9777480581405,1.62764757128159e-16,6.99045348363816e-15,28.126983525147,"DOWN"
"P78316",1.39315696233531,-3.38348221907845,29.9673286533187,1.63742046624442e-16,6.99045348363816e-15,28.1209017876943,"UP"
"O15143",-0.936840375857469,-3.48954643620891,-29.938316300151,1.66496052482303e-16,6.99045348363816e-15,28.103955920569,"NOT"
"Q9BXJ9",1.41692340495438,-3.37368200557616,29.9332547004172,1.66981516438696e-16,6.99045348363816e-15,28.1009977407969,"UP"
"P09525",-1.91337515555319,-3.52349415361589,-29.9098827142796,1.69242615725717e-16,7.00550332959035e-15,28.0873315941141,"DOWN"
"O43772",-1.61464511178027,-3.59930924212318,-29.8627262714794,1.7390372080973e-16,7.11845897181159e-15,28.0597244225529,"DOWN"
"P08195",2.09590256226701,-3.39957267465961,29.7744979204787,1.82992388585169e-16,7.40817537964576e-15,28.0079507828672,"UP"
"Q92820",-2.5912638434301,-3.62701062984622,-29.7079150374895,1.90182787058274e-16,7.61558029915958e-15,27.9687738016232,"DOWN"
"O60841",1.28466423766287,-3.32165852540242,29.6012884724433,2.02325823251418e-16,7.98748191017096e-15,27.9058458375076,"UP"
"Q9NVP1",1.58078018201453,-3.42774108354026,29.5847475991306,2.04281741568714e-16,7.98748191017096e-15,27.896062898089,"UP"
"Q6PKG0",1.26698983451605,-3.33745825784651,29.5561199415122,2.07714222497865e-16,7.98748191017096e-15,27.8791179852802,"UP"
"O00541",1.39149850956731,-3.33094209301277,29.5525802098152,2.08142851079374e-16,7.98748191017096e-15,27.8770216152993,"UP"
"Q8WTT2",1.305553127282,-3.34992012708876,29.4168482667675,2.25303925240296e-16,8.55690371737373e-15,27.79643954547,"UP"
"P25325",-1.69415744378807,-3.36381576925938,-29.3543262555086,2.33705618662236e-16,8.78542346073141e-15,27.759191947803,"DOWN"
"Q01826",2.03090353812428,-3.46378068459282,29.1528117852789,2.6311179684474e-16,9.79094807652549e-15,27.6385801725674,"UP"
"Q9Y5J1",1.62501838355838,-3.44198141039236,29.0611730293608,2.77753876350179e-16,1.02324528047406e-14,27.5834475173819,"UP"
"Q14289",-1.39238878891543,-3.59194458696958,-28.9914785710048,2.89464657978679e-16,1.05582950494401e-14,27.5413972703964,"DOWN"
"Q96JY6",-1.78969528956063,-3.83469782889956,-28.9569961013819,2.95450492522391e-16,1.06709766122793e-14,27.5205537470242,"DOWN"
